VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
660,SAZERAC NORTH AMERICA INC.,2127,7.19,10.49,347548,2498870.12,164023,1710451.27,348075.46,301361.64999999997,17932.33,-788418.8500000001,-46.09420121042093,0.4719434437833048,0.6844898645632691
1392,CONSTELLATION BRANDS INC,6682,6.030000000000001,8.99,406188,2449313.64,189116,1907696.84,306677.89,42503.42,79528.99,-541616.8,-28.39113577396291,0.4655873634868583,0.7788699694662216
3960,DIAGEO NORTH AMERICA INC,3798,19.83,28.99,123320,2445435.6,57239,1444780.6099999999,299484.64999999997,45077.87,257032.07,-1000654.9900000002,-69.25999581348205,0.4641501783976646,0.5908070570331109
3960,DIAGEO NORTH AMERICA INC,4262,11.19,13.99,218208,2441747.52,100265,1557632.35,455440.3,78940.43,257032.07,-884115.1699999999,-56.76019569059412,0.45949277753336265,0.6379170398420226
1128,BROWN-FORMAN CORP,2015,18.1,22.99,134860,2440966.0,61993,1440877.07,571044.4199999999,48813.62,68601.68,-1000088.9299999999,-69.40834515466332,0.4596841168619309,0.5902896926872394
12546,JIM BEAM BRANDS COMPANY,1737,34.3,51.99,70148,2406076.4,30066,1539945.34,813282.65,55249.13,123880.97,-866131.0599999998,-56.24427292984306,0.42860808576153275,0.6400234589392091
4425,MARTIGNETTI COMPANIES,38370,6.59,9.949999999999998,364560,2402450.4,175170,1720479.46,236814.38999999998,19675.69,144929.24,-681970.94,-39.638423814719644,0.4804970375246873,0.7161352675584894
6785,PALM BAY INTERNATIONAL INC,6937,6.75,9.99,355008,2396304.0,163218,1763517.34,310722.42,36680.92,13605.41,-632786.6599999999,-35.88207757571581,0.4597586533261222,0.7359322272967036
8112,MOET HENNESSY USA INC,4689,33.33,45.99,71352,2378162.16,33685,1607892.15,329462.02,26526.8,48347.26,-770270.0100000002,-47.90557687591175,0.47209608700526967,0.6761070279580934
4425,MARTIGNETTI COMPANIES,3040,16.54,23.99,143688,2376599.52,64456,1556403.44,475785.06,67678.8,144929.24,-820196.0800000001,-52.69816674267953,0.44858304103335006,0.6548867097305481
17035,PERNOD RICARD USA,3625,12.59,16.99,183876,2314998.8400000003,82702,1460674.98,512458.48,65111.51,123780.22,-854323.8600000003,-58.48829285759385,0.44977049750919096,0.6309614306329414
8112,MOET HENNESSY USA INC,7865,23.969999999999995,34.99,96352,2309557.44,39738,1430382.62,457141.33,4445.07,48347.26,-879174.8199999998,-61.46431085690902,0.4124252739953504,0.6193319097532384
12546,JIM BEAM BRANDS COMPANY,1346,22.55,29.99,102160,2303708.0,41276,1275569.24,659588.5599999999,32504.53,123880.97,-1028138.76,-80.60234817202084,0.40403288958496475,0.5537026567603186
7239,REMY COINTREAU USA INC,5242,22.05,29.99,101444,2236840.2,46636,1439645.64,667508.64,36722.84,16978.67,-797194.5600000003,-55.37436004043331,0.4597216198099444,0.6436068343192329
